date,Points,Ranking,HighestRanking
7/8/2010,291.8999939,16455,979
7/8/2010,2008.199951,3282,1801
7/8/2010,2262.5,2940,246
7/8/2010,1300.5,4853,883
7/8/2010,37.79999924,31620,469
7/8/2010,5908.299805,1133,166
7/9/2010,335.7999878,14947,5299
7/9/2010,63.70000076,29591,667
7/9/2010,38.70000076,31567,452
7/9/2010,5791.5,1157,4
7/9/2010,575.5999756,9857,151
7/9/2010,4593.299805,1474,73
7/10/2010,53.59999847,30499,348
7/11/2010,9848.299805,638,105
7/11/2010,141.8999939,24577,10003
7/11/2010,39,31558,450
7/12/2010,481,11354,4959
7/12/2010,822.9000244,7333,3579
7/13/2010,72.5,28986,244
7/13/2010,257.5,17869,550
7/14/2010,343.8999939,14685,2557
7/14/2010,14.5,32508,3837
7/14/2010,62.70000076,29674,283
7/14/2010,306.2999878,15895,578
7/14/2010,365.7999878,13998,99
7/15/2010,976.2000122,6279,426
7/15/2010,118.5999985,26252,131
7/15/2010,2,32593,1655
7/15/2010,2.700000048,32567,1606
7/16/2010,72.69999695,28974,242
7/16/2010,54.90000153,30368,5975
7/16/2010,129.5,25432,120
7/17/2010,38.70000076,31568,448
7/17/2010,83.69999695,28288,2626
7/17/2010,209.6999969,20161,5973
7/17/2010,91.80000305,27842,182
7/19/2010,235.3999939,18924,53
7/19/2010,408.6000061,12868,202
7/20/2010,2989.899902,2254,64
7/20/2010,463.2000122,11673,5564
7/20/2010,5694.5,1169,209
7/20/2010,15445.2998,348,96
7/21/2010,5090.299805,1309,604
7/21/2010,66,29409,271
7/21/2010,862.7000122,7032,38
7/21/2010,183.3000031,21746,12341
7/21/2010,21931.09961,213,3
7/22/2010,36.09999847,31726,490
7/22/2010,492.7000122,11166,513
7/22/2010,516,10758,3987
7/23/2010,76.69999695,28717,238
7/23/2010,10075.7998,625,52
7/25/2010,115.6999969,26429,723
7/26/2010,69,29218,258
7/26/2010,5359.299805,1245,115
7/26/2010,337.3999939,14892,402
7/27/2010,198.5,20813,414
7/27/2010,2980.600098,2262,311
7/27/2010,14760.40039,365,102
7/28/2010,44.40000153,31191,398
7/30/2010,218.3000031,19701,10925
7/30/2010,481.7000122,11342,192
7/30/2010,976,6282,2175
7/30/2010,153.1000061,23845,2972
7/30/2010,6388.299805,1040,158
7/31/2010,1132.800049,5485,64
7/31/2010,162.8000031,23184,83
8/1/2010,30,32058,547
8/1/2010,28497.69922,152,112
8/1/2010,91.30000305,27865,180
8/1/2010,60,29881,293
8/1/2010,50.90000153,30738,346
8/1/2010,30,32059,547
8/2/2010,48.20000076,30928,366
8/2/2010,43.29999924,31257,3916
8/2/2010,36.59999847,31698,816
8/2/2010,33.40000153,31879,521
